Model,Member,Var,Season,Stat,value,Rank
CanESM5,r3i1p1f1,pr,DJF,RMSE,5,NA
CanESM5,r3i1p1f1,pr,DJF,BIAS,-0.9,NA
CanESM5,r3i1p1f1,pr,MAM,RMSE,5.2,NA
CanESM5,r3i1p1f1,pr,MAM,BIAS,1.7,NA
CanESM5,r3i1p1f1,pr,JJA,RMSE,8.1,NA
CanESM5,r3i1p1f1,pr,JJA,BIAS,-2.6,NA
CanESM5,r3i1p1f1,pr,SON,RMSE,6.1,NA
CanESM5,r3i1p1f1,pr,SON,BIAS,1.8,NA
CanESM5,r4i1p1f1,pr,DJF,RMSE,5.3,NA
CanESM5,r4i1p1f1,pr,DJF,BIAS,2,NA
CanESM5,r4i1p1f1,pr,MAM,RMSE,4.3,NA
CanESM5,r4i1p1f1,pr,MAM,BIAS,-0.1,NA
CanESM5,r4i1p1f1,pr,JJA,RMSE,6.9,NA
CanESM5,r4i1p1f1,pr,JJA,BIAS,0.3,NA
CanESM5,r4i1p1f1,pr,SON,RMSE,6.4,NA
CanESM5,r4i1p1f1,pr,SON,BIAS,2.5,NA
CanESM5,r5i1p1f1,pr,DJF,RMSE,5.9,NA
CanESM5,r5i1p1f1,pr,DJF,BIAS,-2.5,NA
CanESM5,r5i1p1f1,pr,MAM,RMSE,5.2,NA
CanESM5,r5i1p1f1,pr,MAM,BIAS,0.6,NA
CanESM5,r5i1p1f1,pr,JJA,RMSE,7.6,NA
CanESM5,r5i1p1f1,pr,JJA,BIAS,-1.9,NA
CanESM5,r5i1p1f1,pr,SON,RMSE,5.5,NA
CanESM5,r5i1p1f1,pr,SON,BIAS,0.6,NA
CanESM5,r6i1p1f1,pr,DJF,RMSE,4.7,NA
CanESM5,r6i1p1f1,pr,DJF,BIAS,0.7,NA
CanESM5,r6i1p1f1,pr,MAM,RMSE,6.4,NA
CanESM5,r6i1p1f1,pr,MAM,BIAS,-1.1,NA
CanESM5,r6i1p1f1,pr,JJA,RMSE,7.5,NA
CanESM5,r6i1p1f1,pr,JJA,BIAS,-0.9,NA
CanESM5,r6i1p1f1,pr,SON,RMSE,4.7,NA
CanESM5,r6i1p1f1,pr,SON,BIAS,1.5,NA
CanESM5,r7i1p1f1,pr,DJF,RMSE,4.5,NA
CanESM5,r7i1p1f1,pr,DJF,BIAS,-0.1,NA
CanESM5,r7i1p1f1,pr,MAM,RMSE,5,NA
CanESM5,r7i1p1f1,pr,MAM,BIAS,-0.1,NA
CanESM5,r7i1p1f1,pr,JJA,RMSE,7,NA
CanESM5,r7i1p1f1,pr,JJA,BIAS,-1.8,NA
CanESM5,r7i1p1f1,pr,SON,RMSE,7.6,NA
CanESM5,r7i1p1f1,pr,SON,BIAS,-3.2,NA
EC-Earth3,r1i1p1f1,pr,DJF,RMSE,3.6,NA
EC-Earth3,r1i1p1f1,pr,DJF,BIAS,1.3,NA
EC-Earth3,r1i1p1f1,pr,MAM,RMSE,4.8,NA
EC-Earth3,r1i1p1f1,pr,MAM,BIAS,-0.9,NA
EC-Earth3,r1i1p1f1,pr,JJA,RMSE,8.1,NA
EC-Earth3,r1i1p1f1,pr,JJA,BIAS,-1.2,NA
EC-Earth3,r1i1p1f1,pr,SON,RMSE,4.7,NA
EC-Earth3,r1i1p1f1,pr,SON,BIAS,1,NA
EC-Earth3,r2i1p1f1,pr,DJF,RMSE,4.2,NA
EC-Earth3,r2i1p1f1,pr,DJF,BIAS,-0.1,NA
EC-Earth3,r2i1p1f1,pr,MAM,RMSE,4.4,NA
EC-Earth3,r2i1p1f1,pr,MAM,BIAS,-1.1,NA
EC-Earth3,r2i1p1f1,pr,JJA,RMSE,6.1,NA
EC-Earth3,r2i1p1f1,pr,JJA,BIAS,-1.5,NA
EC-Earth3,r2i1p1f1,pr,SON,RMSE,4.9,NA
EC-Earth3,r2i1p1f1,pr,SON,BIAS,0.8,NA
EC-Earth3,r3i1p1f1,pr,DJF,RMSE,4.8,NA
EC-Earth3,r3i1p1f1,pr,DJF,BIAS,-1.7,NA
EC-Earth3,r3i1p1f1,pr,MAM,RMSE,5.5,NA
EC-Earth3,r3i1p1f1,pr,MAM,BIAS,2.6,NA
