Model,Member,Var,Season,Stat,NetError,Rank,historical,ssp245,ssp370,ssp585,n_complete_ens,n_avail_ens
ACCESS-CM2,r2i1p1f1,All,Annual,Both,10.98954048,3,XNP,XNP,XNP,XNP,4,4
CESM2-LENS,r7i1p1f1,All,Annual,Both,11.11980216,3,XNP,---,XNP,---,2,2
EC-Earth3-Veg,r5i1p1f1,All,Annual,Both,11.28538878,3,XNP,XNP,---,---,2,2
MIROC6,r3i1p1f1,All,Annual,Both,11.29822995,3,XNP,XNP,XNP,XNP,4,4
HadGEM3-GC31-LL,r1i1p1f3,All,Annual,Both,11.36001761,3,XNP,---,---,XNP,2,2
IPSL-CM6A-LR,r8i1p1f1,All,Annual,Both,11.57238091,3,XNP,---,XNP,---,2,2
CanESM5,r6i1p1f1,All,Annual,Both,12.10826164,3,XNP,XNP,XNP,XNP,4,4
MPI-ESM1-2-HR,r6i1p1f1,All,Annual,Both,12.31097072,3,XNP,---,XNP,---,2,2
MPI-ESM1-2-LR,r8i1p1f1,All,Annual,Both,12.58173279,3,XNP,XNP,XNP,--P,3,4
AWI-CM-1-1-MR,r4i1p1f1,All,Annual,Both,12.85457117,3,XNP,---,XNP,---,2,2
KACE-1-0-G,r3i1p1f1,All,Annual,Both,14.45371924,3,XNP,XNP,XNP,XNP,4,4
FGOALS-g3,r5i1p1f1,All,Annual,Both,10.72567014,4,,---,,---,0,2
INM-CM5-0,r5i1p1f1,All,Annual,Both,11.05757659,4,,---,,---,0,2
MRI-ESM2-0,r3i1p1f1,All,Annual,Both,11.11260546,4,,---,,---,0,2
CESM2-LENS,r3i1p1f1,All,Annual,Both,11.15257818,4,,---,,---,0,2
MIROC6,r5i1p1f1,All,Annual,Both,11.45818485,4,,---,---,,0,2
ACCESS-ESM1-5,r3i1p1f1,All,Annual,Both,11.50304308,4,,,,,0,4
EC-Earth3,r1i1p1f1,All,Annual,Both,11.5823141,4,XNP,XNP,XNP,XNP,4,4
IPSL-CM6A-LR,r5i1p1f1,All,Annual,Both,11.65203845,4,,,,---,0,3
EC-Earth3-Veg,r1i1p1f1,All,Annual,Both,12.30121945,4,XNP,XNP,XNP,XNP,4,4
MPI-ESM1-2-HR,r1i1p1f1,All,Annual,Both,12.38749369,4,XNP,XNP,XNP,XNP,4,4
CanESM5,r2i1p1f1,All,Annual,Both,12.44949798,4,,,,,0,4
MPI-ESM1-2-LR,r7i1p1f1,All,Annual,Both,12.80546758,4,,,,,0,4
AWI-CM-1-1-MR,r5i1p1f1,All,Annual,Both,12.89806187,4,,---,,---,0,2
CESM2-LENS,r5i1p1f1,All,Annual,Both,11.24855546,5,,---,,---,0,2
MIROC6,r4i1p1f1,All,Annual,Both,11.62626337,5,,---,---,,0,2
ACCESS-ESM1-5,r4i1p1f1,All,Annual,Both,11.7698768,5,,,,,0,4
IPSL-CM6A-LR,r9i1p1f1,All,Annual,Both,11.81058847,5,,,,,0,4
MRI-ESM2-0,r4i1p1f1,All,Annual,Both,12.03494911,5,,---,,---,0,2
EC-Earth3-Veg,r2i1p1f1,All,Annual,Both,12.32720568,5,,,,,0,4
INM-CM5-0,r2i1p1f1,All,Annual,Both,12.44186481,5,,---,,---,0,2
CanESM5,r5i1p1f1,All,Annual,Both,12.6747781,5,,,,,0,4
MPI-ESM1-2-HR,r3i1p1f1,All,Annual,Both,12.73184983,5,,---,,---,0,2
MPI-ESM1-2-LR,r5i1p1f1,All,Annual,Both,12.88720295,5,,,,,0,4
AWI-CM-1-1-MR,r3i1p1f1,All,Annual,Both,13.14952471,5,,---,,---,0,2
CESM2-LENS,r1i1p1f1,All,Annual,Both,11.24988889,6,XNP,---,XNP,---,2,2
IPSL-CM6A-LR,r1i1p1f1,All,Annual,Both,11.81270502,6,XNP,XNP,XNP,XNP,4,4
MPI-ESM1-2-HR,r5i1p1f1,All,Annual,Both,12.83783471,6,,---,,---,0,2
CanESM5,r7i1p1f1,All,Annual,Both,12.87672319,6,,,,,0,4
MPI-ESM1-2-LR,r2i1p1f1,All,Annual,Both,13.435401,6,,,,,0,4
CESM2-LENS,r10i1p1f1,All,Annual,Both,11.60517126,7,,---,---,,0,2
IPSL-CM6A-LR,r10i1p1f1,All,Annual,Both,12.25193862,7,,---,,---,0,2
MPI-ESM1-2-HR,r9i1p1f1,All,Annual,Both,12.94913124,7,,---,,---,0,2
CanESM5,r3i1p1f1,All,Annual,Both,12.9988461,7,,,,,0,4
MPI-ESM1-2-LR,r6i1p1f1,All,Annual,Both,13.74190671,7,,,---,,0,3
CESM2-LENS,r2i1p1f1,All,Annual,Both,11.69016681,8,,---,,---,0,2
IPSL-CM6A-LR,r4i1p1f1,All,Annual,Both,12.47597692,8,,,,,0,4
MPI-ESM1-2-HR,r4i1p1f1,All,Annual,Both,12.95106173,8,,---,,---,0,2
MPI-ESM1-2-LR,r1i1p1f1,All,Annual,Both,13.74227055,8,XNP,XNP,XNP,XNP,4,4
CESM2-LENS,r9i1p1f1,All,Annual,Both,12.00416594,9,,---,,---,0,2
IPSL-CM6A-LR,r6i1p1f1,All,Annual,Both,13.14800365,9,,---,,---,0,2
MPI-ESM1-2-HR,r8i1p1f1,All,Annual,Both,13.37422895,9,,---,,---,0,2
MPI-ESM1-2-LR,r4i1p1f1,All,Annual,Both,14.06271666,9,,,,,0,4
CESM2-LENS,r8i1p1f1,All,Annual,Both,12.45070279,10,,---,,---,0,2
IPSL-CM6A-LR,r7i1p1f1,All,Annual,Both,13.23933533,10,,---,,---,0,2
MPI-ESM1-2-HR,r7i1p1f1,All,Annual,Both,14.72548811,10,,---,,---,0,2
