Model,Member,Var,Season,RMSE,BIAS,Both
EC-Earth3,r3i1p1f1,pr,DJF,4.8,-1.7,5.0921508225896055
EC-Earth3,r3i1p1f1,pr,MAM,5.5,2.6,6.0835844697020525
EC-Earth3,r3i1p1f1,pr,JJA,6.3,-0.1,6.300793600809345
EC-Earth3,r3i1p1f1,pr,SON,4.1,-0.5,4.1303752856126765
EC-Earth3,r4i1p1f1,pr,DJF,3.2,0.2,3.2062439083762797
EC-Earth3,r4i1p1f1,pr,MAM,5,-1.7,5.281098370604358
EC-Earth3,r4i1p1f1,pr,JJA,7.5,-1,7.566372975210778
EC-Earth3,r4i1p1f1,pr,SON,4.5,-1.2,4.657252408878008
EC-Earth3-Veg,r1i1p1f1,pr,DJF,4,-0.4,4.019950248448356
EC-Earth3-Veg,r1i1p1f1,pr,MAM,5,-0.4,5.015974481593781
EC-Earth3-Veg,r1i1p1f1,pr,JJA,8,-2.3,8.324061508662703
EC-Earth3-Veg,r1i1p1f1,pr,SON,6.2,-1.1,6.296824596572467
EC-Earth3-Veg,r2i1p1f1,pr,DJF,4.9,1.5,5.1244511901275835
EC-Earth3-Veg,r2i1p1f1,pr,MAM,5.4,0.2,5.403702434442518
EC-Earth3-Veg,r2i1p1f1,pr,JJA,6.9,0.6,6.926037828369118
EC-Earth3-Veg,r2i1p1f1,pr,SON,6.5,-2.4,6.928924880528003
EC-Earth3-Veg,r3i1p1f1,pr,DJF,4.6,-0.5,4.62709412050371
EC-Earth3-Veg,r3i1p1f1,pr,MAM,5.8,0.5,5.821511831131154
EC-Earth3-Veg,r3i1p1f1,pr,JJA,6.5,-1.2,6.609841147864296
EC-Earth3-Veg,r3i1p1f1,pr,SON,4.9,1.3,5.069516742254631
EC-Earth3-Veg,r4i1p1f1,pr,DJF,3.6,-0.4,3.622154055254967
EC-Earth3-Veg,r4i1p1f1,pr,MAM,4.5,-1.1,4.632493928760188
EC-Earth3-Veg,r4i1p1f1,pr,JJA,6.9,0.7,6.935416353759881
EC-Earth3-Veg,r4i1p1f1,pr,SON,5.6,1.3,5.748912940721924
EC-Earth3-Veg,r5i1p1f1,pr,DJF,3.7,-0.5,3.733630940518894
EC-Earth3-Veg,r5i1p1f1,pr,MAM,4.1,-0.5,4.1303752856126765
